index,Player ID,Inducted into HOF,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Weight,Height,Batting Hand,Throwing Hand,MLB Debut,Final MLB Game,Award Name,All Star Games Played
39002,reedje02,N,1234.0,3101.0,311.0,774.0,144.0,10.0,61.0,323.0,7.0,9.0,391.0,566.0,43.0,14.0,35.0,25.0,74.0,190.0,74.0,L,R,1984-04-05,2000-10-01,None,0
38983,redusga01,N,1159.0,3513.0,591.0,886.0,183.0,51.0,90.0,352.0,322.0,83.0,481.0,688.0,21.0,17.0,14.0,40.0,38.0,180.0,73.0,R,R,1982-09-07,1994-07-23,None,0
38966,reddijo01,N,1305.0,4408.0,597.0,1157.0,219.0,33.0,146.0,575.0,61.0,18.0,393.0,791.0,21.0,7.0,6.0,46.0,75.0,197.0,74.0,L,R,2009-07-31,2021-08-03,Gold Glove,0
38954,realmjt01,N,866.0,3175.0,444.0,874.0,181.0,23.0,112.0,431.0,57.0,17.0,227.0,688.0,14.0,47.0,1.0,24.0,70.0,212.0,73.0,R,R,2014-06-05,2021-10-03,TSN All-Star,3.0
19537,rayjo01,N,1353.0,5188.0,604.0,1502.0,294.0,36.0,53.0,594.0,80.0,49.0,353.0,329.0,39.0,12.0,48.0,56.0,126.0,170.0,71.0,B,R,1981-09-02,1990-09-30,TSN All-Star,1.0
38924,rawlijo01,N,1080.0,3719.0,409.0,928.0,122.0,28.0,14.0,303.0,92.0,22.0,257.0,275.0,0.0,27.0,165.0,0.0,0.0,158.0,68.0,R,R,1914-04-14,1926-09-13,None,0
38899,rasmuco01,N,1092.0,3704.0,536.0,891.0,183.0,21.0,166.0,491.0,35.0,17.0,362.0,1106.0,23.0,18.0,13.0,22.0,44.0,195.0,74.0,L,L,2009-04-07,2018-07-01,None,0
19953,randowi01,N,2202.0,8018.0,1239.0,2210.0,316.0,65.0,54.0,687.0,271.0,94.0,1243.0,675.0,37.0,38.0,99.0,64.0,219.0,165.0,71.0,R,R,1975-07-29,1992-10-04,TSN All-Star,5.0
38888,randlle01,N,1138.0,3950.0,488.0,1016.0,145.0,40.0,27.0,322.0,156.0,112.0,372.0,505.0,27.0,15.0,62.0,28.0,72.0,169.0,70.0,B,R,1971-06-16,1982-06-20,None,0
38883,randajo01,N,1522.0,5428.0,697.0,1543.0,327.0,36.0,123.0,739.0,42.0,26.0,432.0,738.0,22.0,55.0,25.0,67.0,139.0,190.0,71.0,R,R,1995-04-30,2006-10-01,None,0
